experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
many-models,logistics,5-packages,gemini-2.5-flash-lite-thinking,landmark,1,2,4,336.0,12.5,0.5,0.5
many-models,logistics,5-packages,gemini-2.5-flash-lite-thinking,pddl,1,2,4,354.75,,0.5,0.5
many-models,logistics,5-packages,gemini-thinking,landmark,1,4,4,294.0,12.5,1.0,1.0
many-models,logistics,5-packages,gemini-thinking,pddl,1,4,4,346.5,,1.0,1.0
many-models,logistics,7-packages,gemini-2.0-flash-lite,landmark,1,0,4,447.0,28.5,0.0,0.0
many-models,logistics,7-packages,gemini-2.0-flash-lite,pddl,1,0,4,,,0.0,0.0
many-models,logistics,7-packages,gemini-2.5-flash-lite,landmark,1,0,4,506.0,28.5,0.0,0.0
many-models,logistics,7-packages,gemini-2.5-flash-lite,pddl,1,0,4,638.5,,0.0,0.0
many-models,logistics,7-packages,gemini-2.5-flash-lite-thinking,landmark,1,1,4,774.75,28.5,0.25,0.25
many-models,logistics,7-packages,gemini-2.5-flash-lite-thinking,pddl,1,1,4,854.25,,0.25,0.25
many-models,logistics,7-packages,gemini-thinking,landmark,1,4,4,592.0,28.5,1.0,1.0
many-models,logistics,7-packages,gemini-thinking,pddl,1,4,4,588.5,,1.0,1.0
many-models,logistics,9-packages,gemini-2.0-flash-lite,landmark,1,0,4,413.0,28.5,0.0,0.0
many-models,logistics,9-packages,gemini-2.0-flash-lite,pddl,1,0,4,421.0,,0.0,0.0
many-models,logistics,9-packages,gemini-2.5-flash-lite,landmark,1,0,4,683.25,28.5,0.0,0.0
many-models,logistics,9-packages,gemini-2.5-flash-lite,pddl,1,0,4,1290.75,,0.0,0.0
many-models,logistics,9-packages,gemini-2.5-flash-lite-thinking,landmark,1,0,4,798.0,28.5,0.0,0.0
many-models,logistics,9-packages,gemini-2.5-flash-lite-thinking,pddl,1,0,4,903.0,,0.0,0.0
many-models,logistics,9-packages,gemini-thinking,landmark,1,4,4,626.0,28.5,1.0,1.0
many-models,logistics,9-packages,gemini-thinking,pddl,1,4,4,689.5,,1.0,1.0
many-models,miconic,12-passenger,gemini-2.0-flash-lite,landmark,1,0,4,429.0,24.0,0.0,0.0
many-models,miconic,12-passenger,gemini-2.0-flash-lite,pddl,1,0,4,426.0,,0.0,0.0
many-models,miconic,12-passenger,gemini-2.5-flash-lite,landmark,1,0,4,841.5,24.0,0.0,0.0
